,Modified,Initial,Winsorization,Linear Approximation,Correlation
87,358.55,358.55,358.55,358.55,358.55
88,358.5,358.5,358.5,358.5,358.5
89,358.58,358.58,358.58,358.58,358.58
90,355.91,355.91,355.91,355.91,355.91
91,359.0,359.0,359.0,359.0,359.0
92,0.0,358.36,359.0,362.26,344.0185106031305
93,365.52,365.52,365.52,365.52,365.52
94,365.7,365.7,365.7,365.7,365.7
95,0.0,363.22,365.7,365.24999999999994,350.17851060313046
96,0.0,358.0,365.7,364.79999999999995,347.42851060313046
97,0.0,356.33,365.7,364.34999999999997,347.70851060313043
98,0.0,363.05,365.7,363.9,352.66851060313047
99,363.45,363.45,363.45,363.45,363.45
100,368.37,368.37,368.37,368.37,368.37
101,369.98,369.98,369.98,369.98,369.98
102,371.5,371.5,371.5,371.5,371.5
103,378.59,378.59,378.59,378.59,378.59
104,0.0,379.83,378.59,379.28,357.32851060313044
105,379.97,379.97,379.97,379.97,379.97
106,380.66,380.66,380.66,380.66,380.66
107,0.0,379.0,380.66,382.2733333333333,356.55851060313046
108,0.0,379.49,380.66,383.88666666666666,357.80851060313046
109,385.5,385.5,385.5,385.5,385.5
110,0.0,385.49,385.5,385.98,361.93851060313045
111,386.46,386.46,386.46,386.46,386.46
112,382.9,382.9,382.9,382.9,382.9
113,376.26,376.26,376.26,376.26,376.26
114,0.0,380.42,376.26,379.77,362.7685106031305
115,383.28,383.28,383.28,383.28,383.28
116,386.6,386.6,386.6,386.6,386.6
117,0.0,386.55,386.6,387.795,365.70851060313043
118,388.99,388.99,388.99,388.99,388.99
119,393.55,393.55,393.55,393.55,393.55
120,0.0,397.78,393.55,391.005,368.85851060313047
121,388.46,388.46,388.46,388.46,388.46
122,383.59,383.59,383.59,383.59,383.59
123,382.05,382.05,382.05,382.05,382.05
124,379.72,379.72,379.72,379.72,379.72
125,375.2,375.2,375.2,375.2,375.2
126,369.37,369.37,369.37,369.37,369.37
127,376.48,376.48,376.48,376.48,376.48
128,375.48,375.48,375.48,375.48,375.48
129,375.1,375.1,375.1,375.1,375.1
130,366.1,366.1,366.1,366.1,366.1
131,367.59,367.59,367.59,367.59,367.59
132,356.27,356.27,356.27,356.27,356.27
133,358.1,358.1,358.1,358.1,358.1
134,364.76,364.76,364.76,364.76,364.76
135,364.02,364.02,364.02,364.02,364.02
136,364.0,364.0,364.0,364.0,364.0
137,362.0,362.0,362.0,362.0,362.0
138,360.74,360.74,360.74,360.74,360.74
139,367.52,367.52,367.52,367.52,367.52
140,367.84,367.84,367.84,367.84,367.84
141,0.0,367.72,367.84,370.41499999999996,362.2285106031304
142,372.99,372.99,372.99,372.99,372.99
143,367.48,367.48,367.48,367.48,367.48
144,0.0,363.75,367.48,365.2533333333334,362.98851060313046
145,0.0,363.04,367.48,363.0266666666667,362.55851060313046
146,360.8,360.8,360.8,360.8,360.8
147,360.95,360.95,360.95,360.95,360.95
148,361.4,361.4,361.4,361.4,361.4
149,367.86,367.86,367.86,367.86,367.86
150,0.0,362.76,367.86,366.98,363.94851060313044
151,366.1,366.1,366.1,366.1,366.1
152,365.46,365.46,365.46,365.46,365.46
153,0.0,364.61,365.46,365.725,366.7885106031305
154,365.99,365.99,365.99,365.99,365.99
155,364.65,364.65,364.65,364.65,364.65
156,364.84,364.84,364.84,364.84,364.84
157,0.0,365.6,364.84,365.325,370.51851060313044
158,365.81,365.81,365.81,365.81,365.81
159,366.66,366.66,366.66,366.66,366.66
160,0.0,367.61,366.66,365.055,368.2785106031305
161,363.45,363.45,363.45,363.45,363.45
162,367.2,367.2,367.2,367.2,367.2
163,366.71,366.71,366.71,366.71,366.71
164,366.05,366.05,366.05,366.05,366.05
165,373.09,373.09,373.09,373.09,373.09
166,378.19,378.19,378.19,378.19,378.19
167,0.0,375.03,378.19,376.21000000000004,370.04851060313047
168,374.23,374.23,374.23,374.23,374.23
169,379.65,379.65,379.65,379.65,379.65
170,379.64,379.64,379.64,379.64,379.64
171,368.68,368.68,368.68,368.68,368.68
172,0.0,368.69,368.68,367.09000000000003,371.3985106031305
173,365.5,365.5,365.5,365.5,365.5
174,0.0,370.01,365.5,368.65666666666664,370.2285106031304
175,0.0,375.07,365.5,371.81333333333333,373.87851060313045
176,374.97,374.97,374.97,374.97,374.97
177,375.13,375.13,375.13,375.13,375.13
178,373.26,373.26,373.26,373.26,373.26
179,369.99,369.99,369.99,369.99,369.99
180,373.02,373.02,373.02,373.02,373.02
181,373.19,373.19,373.19,373.19,373.19
182,0.0,375.38,373.19,376.89250000000004,373.5285106031305
183,0.0,383.6,373.19,380.595,377.87851060313045
184,0.0,390.21,373.19,384.2975,381.3985106031305
185,388.0,388.0,388.0,388.0,388.0
186,386.7,386.7,386.7,386.7,386.7
187,386.35,386.35,386.35,386.35,386.35
188,365.92,365.92,365.92,365.92,365.92
189,0.0,374.1,365.92,371.34666666666664,378.4685106031305
190,0.0,380.39,365.92,376.7733333333333,379.3885106031305
191,382.2,382.2,382.2,382.2,382.2
192,0.0,391.71,382.2,385.66666666666663,384.54851060313047
193,0.0,393.11,382.2,389.1333333333333,384.5285106031305
194,392.6,392.6,392.6,392.6,392.6
195,0.0,389.0,392.6,387.42,383.58851060313043
196,382.24,382.24,382.24,382.24,382.24
197,0.0,389.36,382.24,384.21500000000003,382.83851060313043
198,386.19,386.19,386.19,386.19,386.19
199,386.6,386.6,386.6,386.6,386.6
200,375.6,375.6,375.6,375.6,375.6
201,366.99,366.99,366.99,366.99,366.99
202,0.0,367.9,366.99,369.045,372.0985106031304
