<TICKER>,<PER>,<DATE>,<TIME>,<OPEN>,<HIGH>,<LOW>,<CLOSE>,<VOL>
SPBEX.MA,D,20210512,0,367.5900000,369.0000000,355.6600000,356.2700000,518487
SPBEX.MA,D,20210513,0,357.1400000,362.8400000,351.1600000,358.1000000,432011
SPBEX.MA,D,20210514,0,360.9800000,365.5500000,359.3000000,364.7600000,567907
SPBEX.MA,D,20210515,0,364.6900000,364.6900000,364.0000000,364.0200000,98
SPBEX.MA,D,20210517,0,365.0000000,365.0000000,358.0300000,364.0000000,544744
SPBEX.MA,D,20210518,0,363.5500000,369.8600000,361.6600000,362.0000000,486591
SPBEX.MA,D,20210519,0,362.0000000,365.9700000,355.4100000,360.7400000,668223
SPBEX.MA,D,20210520,0,360.8000000,369.3600000,358.1500000,367.5200000,718914
SPBEX.MA,D,20210521,0,367.7000000,372.5000000,367.4000000,367.8400000,387456
SPBEX.MA,D,20210522,0,367.8400000,367.8400000,367.6000000,367.7200000,10
SPBEX.MA,D,20210524,0,365.0300000,373.7700000,365.0300000,372.9900000,435343
SPBEX.MA,D,20210525,0,372.5100000,375.1500000,366.8800000,367.4800000,507970
SPBEX.MA,D,20210526,0,367.7500000,370.4900000,362.0500000,363.7500000,560639
SPBEX.MA,D,20210527,0,363.3500000,368.9100000,360.5400000,363.0400000,816638
SPBEX.MA,D,20210528,0,362.1100000,365.3900000,360.2800000,360.8000000,694592
SPBEX.MA,D,20210529,0,361.2500000,361.5400000,360.0000000,360.9500000,135
SPBEX.MA,D,20210601,0,364.6000000,365.4000000,359.5500000,361.4000000,476571
SPBEX.MA,D,20210602,0,361.4000000,371.1800000,359.7500000,367.8600000,641224
SPBEX.MA,D,20210603,0,366.7600000,369.6500000,361.7400000,362.7600000,393931
SPBEX.MA,D,20210604,0,362.0100000,369.8900000,361.1300000,366.1000000,344701
SPBEX.MA,D,20210605,0,366.0000000,366.5900000,365.4600000,365.4600000,22
