MAS,VIS
329.4300000,208.4400000
335.3400000,208.8800000
348.8400000,216.7400000
348.8500000,216.9000000
349.6500000,220.3500000
344.6300000,213.3100000
357.8300000,215.6900000
354.2900000,210.4700000
363.4000000,212.0000000
363.7000000,212.5000000
360.9000000,212.3000000
369.4200000,215.2100000
359.4100000,205.0900000
348.0000000,203.3000000
339.6000000,200.9100000
340.6200000,201.1400000
321.2500000,195.6000000
328.4200000,198.5000000
339.4900000,203.1700000
339.5300000,203.2500000
324.1400000,197.5000000
322.9900000,196.3000000
